id,title,url,source,published_date,author,content,disaster_keywords_found,indonesia_location_keywords_found,event_score,rejection_reason,scraped_at
kompas.com_026bca942741,"Truk Muatan Limbah Kertas Terbalik di Flyover Kranji, Evakuasi Tunggu Lalu Lintas Sepi",https://megapolitan.kompas.com/read/2026/06/12/23320781/truk-muatan-limbah-kertas-terbalik-di-flyover-kranji-evakuasi-tunggu-lalu,Kompas.com,2026-06-12T16:32:07+00:00,Kompas Cyber Media,"BEKASI, KOMPAS.com – Sebuah truk kontainer bermuatan limbah daur ulang kertas terbalik di Flyover Kranji, Jalan Sultan Agung, Kelurahan Kali Baru, Kecamatan Medan Satria, Kota Bekasi, Jumat (12/6/2026) sekitar pukul 19.00 WIB. Insiden tersebut menyebabkan arus lalu lintas dari arah Jakarta menuju Kota Bekasi lumpuh total. Badan kontainer yang melintang menutup seluruh badan jalan di atas flyover sehingga kendaraan tidak dapat melintas dan terpaksa dialihkan ke jalur alternatif. Pantauan Kompas.com di lokasi, kemacetan mengular hingga beberapa kilometer. Sementara itu, puluhan warga tampak memadati sisi flyover untuk menyaksikan proses penanganan kecelakaan. Sejumlah pengendara bahkan menghentikan kendaraannya sejenak untuk melihat kondisi truk yang masih tergeletak di tengah jalan. Kondisi truk mengalami kerusakan cukup parah. Bodi kontainer penyok di sejumlah bagian, sementara kaca pengemudi pecah akibat benturan saat kendaraan terguling. Meski demikian, tidak ada korban jiwa dalam peristiwa tersebut dan sopir berhasil selamat. Kanit Gakkum Satlantas Polres Metro Bekasi Kota, Iptu Rojali, mengatakan proses evakuasi belum dapat dilakukan karena masih menunggu koordinasi dengan perusahaan pemilik kendaraan serta kedatangan alat berat. ""Proses evakuasi kontainer menunggu arus lalu lintas lebih landai. Kami juga berkoordinasi dengan pihak perusahaan dan masih menunggu alat berat,"" ujar Rojali saat dikonfirmasi Kompas.com melalui sambungan telepon. Menurut Rojali, petugas Satlantas telah berada di lokasi untuk melakukan olah tempat kejadian perkara (TKP) sekaligus mengatur arus lalu lintas. ""Anggota kami sudah berada di lokasi untuk melakukan cek TKP,"" kata dia. Penyebab pasti kecelakaan masih dalam penyelidikan. Hingga Jumat malam sekitar pukul 22.00 WIB kontainer masih belum dievakuasi. Polisi bersama Dinas Perhubungan dan pihak perusahaan terus berkoordinasi untuk mendatangkan alat berat yang akan digunakan menggeser kontainer dari badan jalan. Selama proses evakuasi belum dilakukan, kendaraan dari arah Jakarta menuju Kota Bekasi melalui flyover Kranji masih belum dapat melintas.","evakuasi, kerusakan, korban jiwa","jakarta, kota, medan",2,,2026-06-15T23:53:24.017069+00:00
kompas.com_f5ad8d31d895,Peran Penyandang Disabilitas Dalam Penanganan Bencana di NTB,https://nasional.kompas.com/read/2026/06/09/23171171/peran-penyandang-disabilitas-dalam-penanganan-bencana-di-ntb,Kompas.com,2026-06-09T16:17:11+00:00,Kompas Cyber Media,"MATARAM, KOMPAS.com - Suara sirine meraung-raung menandakan bencana alam akan segera terjadi di sebuah wilayah. Warga berlarian menuju tempat evakuasi, mencoba menyelamatkan jiwa mereka masing-masing. Tapi raungan tersebut ternyata tak dihiraukan, atau tepatnya pesan raungan sirine itu tak sampai pada mereka, warga disabilitas tuli. Gambaran inilah yang dibayangkan oleh Lalu Ahmad Fatoni, tokoh penggerak komunitas Tulus Angen Community (TAC) di Lombok Tengah, Nusa Tenggara Barat. Dia adalah salah satu warga disabilitas di NTB yang konsen terhadap isu penanganan bencana. Bajang Toni sebutannya, dengan menggebu-gebu ia bercerita bagaimana jika teman tuli tak bisa membaca alarm bahaya dari sebuah sirine. ""Kalau bicara wiu-wiu (sirine) kira-kira didengar enggak sama teman tuli?"" ucapnya saat ditemui Kompas.com di Kantor Badan Penanggulangan Bencana Daerah (BPBD) Provinsi Nusa Tenggara Barat (NTB). Bagi Bajang Toni, ini bukan lagi sebuah khayalan, tapi pernah terjadi dalam beberapa bencana banjir. Ketika bencana banjir hanya mengandalkan alarm suara, mereka yang tuli jadi tertinggal dalam evakuasi awal. Inilah yang menggerakkan Bajang Toni, bersama dengan komunitas disabilitas lainnya nimbrung dalam program Siap Siaga dari Kemitraan Australia Indonesia dalam pengelolaan risiko bencana. Program ini bertujuan memperkuat kesiapan bencana sekaligus mendukung pembangunan sistem pengelolaan bencana yang inklusif. Sirine suara untuk teman tuli adalah salah satu contoh dari sekian banyak jenis disabilitas yang perlu dipandang dalam sistem penanggulangan bencana. Misalkan untuk mereka yang terbatas secara fisik, perlu ada standar operasional prosedur dalam penyelamatan.","banjir, bpbd, evakuasi","bpbd, indonesia, mataram, ntb, nusa tenggara barat, provinsi",3,,2026-06-15T23:53:31.717432+00:00
kompas.com_7793d17b847e,"Bukit Sempana di Lombok Timur Terbakar, 25 Wisatawan Dievakuasi",https://regional.kompas.com/read/2026/06/09/221151478/bukit-sempana-di-lombok-timur-terbakar-25-wisatawan-dievakuasi,Kompas.com,2026-06-09T15:11:51+00:00,Kompas Cyber Media,"LOMBOK TIMUR, KOMPAS.com - Kebakaran melanda kawasan wisata alam Bukit Sempana di Desa Sembalun Bumbung, Kabupaten Lombok Timur, Nusa Tenggara Barat (NTB), Selasa (9/6/2026). Peristiwa tersebut membuat petugas menghentikan sementara aktivitas pendakian dan melakukan evakuasi terhadap para wisatawan yang berada di lokasi. Kepala Seksi Pengamanan Rinjani Timur, Lalu Iskandar mengatakan, tim langsung diterjunkan ke lokasi setelah menerima laporan kebakaran. ""Kebakaran kawasan di Bukit Sempana itu dilaporkan terjadi pada sore hari, dengan titik api yang terus membesar menjelang malam hari,"" ujarnya, Selasa, dilansir dari Antara. Menurut Lalu, langkah cepat dilakukan untuk mengantisipasi jatuhnya korban jiwa akibat dari kebakaran lahan di kawasan kaki Gunung Rinjani itu. ""Untuk saat ini kami masih fokus untuk mengevakuasi puluhan orang pengunjung yang berkemah di Bukit Sempana,"" katanya. Sementara itu, Kapolsek Sembalun, Iptu Lalu Subadri menyatakan bahwa titik kebakaran berada cukup dekat dengan lokasi perkemahan yang kerap digunakan para pendaki. ""Lokasi kebakaran hutan dan lahan tersebut jaraknya kurang lebih 500 meter dari lokasi camping yang sering dikunjungi oleh para pendaki,"" imbuhnya. Ia menyebutkan, sebanyak 25 wisatawan dievakuasi menuju Pos 1 untuk menghindari dampak kebakaran. ""Petugas sedang melakukan evakuasi terhadap para pengunjung Bukit Sempana sebanyak 25 orang menuju ke Pos 1 agar aman dan tidak terkena dampak dari kebakaran tersebut,"" terangnya. Lalu menambahkan, seiring adanya kebakaran tersebut, aktivitas pendakian di Bukit Sempana untuk sementara waktu dihentikan hingga kondisi dinyatakan aman. Petugas juga belum dapat memastikan penyebab kebakaran maupun luas area yang terdampak karena medan menuju pusat api cukup berisiko dijangkau pada malam hari. ""Kami belum sampai di sana, jadi kami belum berani memastikan titik apinya dari mana, apa lagi luas area yang terbakar. Fokus untuk malam ini, kami amankan yang ada di atas bukit, baru dilakukan upaya penanganan kebakaran besok (Rabu) pagi,"" pungkas Lalu.","evakuasi, kebakaran, korban jiwa","kabupaten, medan, ntb, nusa tenggara barat",6,,2026-06-15T23:53:34.106666+00:00
kompas.com_93d0106666cb,"Belajar dari El Nino 2023, BPBD Jabar Petakan Lima Daerah Rawan Kekurangan Air Bersih Tahun Ini",https://bandung.kompas.com/read/2026/06/06/230639078/belajar-dari-el-nino-2023-bpbd-jabar-petakan-lima-daerah-rawan-kekurangan,Kompas.com,2026-06-06T16:06:39+00:00,Kompas Cyber Media,"BANDUNG, KOMPAS.com - Badan Penanggulangan Bencana Daerah (BPBD) Jawa Barat mewaspadai potensi kekurangan air bersih di lima daerah selama musim kemarau 2026 akibat El Nino Godzila. Adapun kselima daerah tersebut adalah Kabupaten Bogor, Kabupaten Bandung, Kabupaten Ciamis, Kabupaten Bekasi, dan Kabupaten Garut. Pranata Humas Ahli Muda BPBD Jawa Barat Hadi Rahmat mengatakan, lima daerah tersebut tercatat menjadi wilayah yang paling terdampak kekeringan saat El Nino melanda Jawa Barat pada 2023. ""Kalau kita mengacu ke 2023, itu cukup ekstrem. Dan pola yang sama masih berpotensi terjadi jika El Nino kembali menguat,"" ujarnya saat dihubungi Kompas.com, Sabtu (6/6/2026). Menurut dia, BMKG telah menyampaikan bahwa sebagian wilayah Jawa Barat mulai memasuki musim kemarau sejak Mei 2026. BPBD Jabar pun mulai menyiapkan berbagai langkah antisipasi untuk menghadapi kemungkinan terjadinya kekeringan. Selain ancaman kekurangan air bersih, BPBD juga mewaspadai potensi kebakaran hutan dan lahan (karhutla) yang biasanya meningkat saat musim kemarau. Pada 2023, BPBD mencatat ada 710 kejadian karhutla di Jawa Barat. Beberapa daerah yang kerap menjadi lokasi kebakaran antara lain Majalengka, Sumedang, Subang, Sukabumi, Kabupaten Bandung, dan Kuningan. ""Rata-rata memang di wilayah dengan tutupan hutan produksi. Hutan alami di Jawa Barat sudah sangat berkurang,"" kata Hadi. Untuk mengantisipasi dampak kemarau, BPBD telah menyiapkan mobil tangki untuk distribusi air bersih serta peralatan pemadam kebakaran seperti mesin pompa air. BPBD juga sudah berkoordinasi dengan BPBD kabupaten dan kota, perangkat daerah, serta pihak swasta untuk memperkuat kesiapan personel dan peralatan di lapangan. ""Kita tidak bisa bekerja sendiri dalam penanganan bencana. Semua stakeholder harus terlibat,"" tutur Hadi. Meski musim kemarau sudah mulai berlangsung, BPBD Jawa Barat belum menetapkan status siaga kekeringan. Sebab, kondisi cuaca di sejumlah daerah masih berubah-ubah. Hadi menambahkan, beberapa wilayah masih mengalami hujan. Bahkan, banjir masih terjadi di sejumlah daerah dalam beberapa waktu terakhir. ""Secara siklus memang sudah kemarau, tapi kondisi di lapangan masih dinamis,"" katanya.","banjir, bpbd, kebakaran, kekeringan","bandung, bpbd, jawa barat, kabupaten, kota",4,,2026-06-15T23:53:39.049593+00:00
kompas.com_01fd7e05b745,Bina Marga Kramat Jati Minta PAM Jaya Segera Perbaiki Jalan Rusak Bekas Galian Pipa,https://megapolitan.kompas.com/read/2026/06/06/22590701/bina-marga-kramat-jati-minta-pam-jaya-segera-perbaiki-jalan-rusak-bekas,Kompas.com,2026-06-06T15:59:07+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Satuan Pelaksana (Satpel) Bina Marga Kecamatan Kramat Jati menyebut telah meminta pihak PAM Jaya untuk segera memperbaiki kerusakan jalan akibat galian pipa di Jalan Batu Ampar, Kramat Jati, Jakarta Timur. Kepala Satpel Bina Marga Kramat Jati, Dudy, menjelaskan bahwa jalan yang rusak masih menjadi kewenangan PAM Jaya sehingga perbaikannya akan segera dilakukan oleh pihak tersebut. ""Sekarang masih proses test HT (tes tekan), selanjutnya pasang aksesoris dan buat bak kontrol. Saya sudah meminta untuk dirapihkan,"" kata Dudy saat dikonfirmasi melalui pesan WhatsApps, Sabtu (6/6/2026). Selain itu, untuk mengantisipasi terjadinya kecelakaan, Dudy meminta penambahan rambu dan pembatas di area bekas galian. ""Saya sudah instruksi segera di selesaikan dan pengamanan rambu dan barier diperbanyak serta plank pengaman,"" jelasnya. Sebelumnya, warga Jalan Batu Ampar, Kramat Jati, Jakarta Timur, mengeluhkan kondisi jalan yang rusak akibat bekas galian pipa milik PAM yang hingga kini belum diperbaiki. Berdasarkan pantauan Kompas.com di lokasi, Sabtu (6/6/2026), bekas galian pipa tersebut belum ditutup kembali dengan aspal maupun cor beton. Akibatnya, permukaan jalan menjadi tidak rata dan terdapat perbedaan ketinggian di sejumlah titik. Selain itu, beberapa bekas galian masih terlihat terbuka tanpa lapisan aspal atau cor beton. Batu urukan pun masih tampak di permukaan jalan. Galian tersebut juga memakan sebagian badan jalan sehingga menyisakan satu lajur yang dapat dilalui kendaraan. Kondisi ini membuat pengendara harus memperlambat laju kendaraan saat melintas karena terjadi penyempitan jalan. Di lokasi hanya terlihat water barrier yang diletakkan di sekitar area jalan rusak. Tidak tampak adanya rambu peringatan maupun pembatas tambahan untuk mengantisipasi potensi kecelakaan.",kerusakan,jakarta,3,,2026-06-15T23:53:41.431106+00:00
kompas.com_56ebfa02b3d4,Polisi Tangkap 4 Pelaku Pengeroyokan Pemuda Hingga Tewas di Surabaya,https://surabaya.kompas.com/read/2026/06/05/223823478/polisi-tangkap-4-pelaku-pengeroyokan-pemuda-hingga-tewas-di-surabaya,Kompas.com,2026-06-05T15:38:23+00:00,Kompas Cyber Media,"SURABAYA, KOMPAS.com - Polisi menangkap empat pelaku pengeroyokan seorang pemuda, Thomas Julius Kristianto (19) warga Kecamatan Tandes, Surabaya, hingga tewas pada Sabtu, 30 Mei 2026. Hal tersebut diungkapkan oleh Kasi Humas Polrestabes Surabaya, AKP Hadi Ismanto. Namun, dia tak menjelaskan secara detail keempat pelaku pengeroyokan yang diamankan tersebut. “Ya benar sudah diamankan empat orang (pelaku pengeroyokan hingga tewas). Berinisial CJF, AAY, KVRL, dan RU,” kata Hadi, ketika dikonfirmasi, Jumat (5/6/2026). Secara terpisah Kanit Resmob Satreskrim Polrestabes Surabaya, AKP Raditya Herlambang, membenarkan terkait informasi penangkapan para pelaku pengeroyokan tersebut. Akan tetapi, menurut Raditya, pihaknya masih melakukan proses penyelidikan lebih lanjut. Oleh karena itu, dia masih belum bisa menjelaskan mengenai peristiwa kekerasan dengan korban jiwa tersebut. “Masih lanjut pemeriksaan. Perkembangan selanjutnya diinfo humas (Polrestabes Surabaya),” ujar Raditya. Diberitakan sebelumnya, kakek korban, Margono (88), menceritakan detik-detik terakhir sebelum sang cucu mengembuskan napas terakhirnya di RSUD Dr. Soetomo, Surabaya. Margono mengatakan, peristiwa memilukan ini bermula saat Thomas berpamitan kepadanya pada Sabtu, 30 Mei 2026, malam. Saat itu, menurut dia, Thomas hanya mengatakan ingin keluar rumah sebentar bersama seorang temannya. Namun, hingga larut malam, Thomas tak kunjung kembali ke rumah. Sebaliknya, keluarga justru dikejutkan dengan kedatangan teman Thomas yang mengabarkan bahwa korban berada sebuah klinik. ""Pamitannya ke saya mau keluar sebentar. Keluar itu kok enggak pulang-pulang. Tahu-tahu temannya ke sini mengabarkan Thomas ada di dokter Danu,"" ujar Margono kepada Kompas.com saat ditemui di kediamannya, Jumat. Saat pihak keluarga menyusul, kondisi Thomas sudah dalam keadaan tidak sadarkan diri dengan luka parah di bagian kepala. ""Sudah enggak sadar, terluka di kepalanya,"" kata Margono dengan nada sedih. Karena klinik tersebut merupakan rumah sakit bersalin, korban harus segera dirujuk ke rumah sakit yang lebih besar. Setelah sempat kesulitan mencari ambulans, Thomas akhirnya dilarikan ke RSUD Dr. Soetomo untuk mendapatkan penanganan medis lebih lanjut. Naas, nyawa pemuda berusia 19 tahun itu tidak tertolong setelah menjalani beberapa operasi. ""Meninggal setelah dioperasi pagi tadi sekitar jam 05.00 WIB,"" pungkas Margono.",korban jiwa,surabaya,4,,2026-06-15T23:53:49.017357+00:00
kompas.com_51f96bb94b0e,"Kebakaran Minimarket di Tangerang Bikin Panik, Karyawan Siram Api Pakai Air Galon Dagangan",https://megapolitan.kompas.com/read/2026/06/04/22291731/kebakaran-minimarket-di-tangerang-bikin-panik-karyawan-siram-api-pakai,Kompas.com,2026-06-04T15:29:17+00:00,Kompas Cyber Media,"TANGERANG, KOMPAS.com - Upaya pemadaman api di gerai minimarket Indomaret, Jalan Raya M Toha, Karawaci, Kota Tangerang, pada Kamis (4/6/2026) dini hari, diwarnai kepanikan. Saksi mata menyebut para karyawan sempat berusaha memadamkan api menggunakan air galon dagangan sebelum petugas pemadam tiba di lokasi. Romli (28), seorang pedagang buah yang berjualan tepat di seberang gerai tersebut, menceritakan detik-detik mencekam saat api mulai berkobar sekitar pukul 02.50 WIB. ""Karyawannya sekitar 4 atau 5 orang langsung keluar nyebar minta tolong. Ada yang ambil air ember dari warung sebelah, bahkan sampai air galon yang di depan toko itu juga dipakai buat nyiram,"" ujar Romli saat ditemui Kompas.com di lokasi kejadian, Kamis sore. Meski Romli, warga lain, dan karyawan sudah berusaha menyiramkan air, api tetap berkobar dan semakin membesar. Kondisi di dalam toko yang terlalu panas membuat warga tidak berani masuk lebih jauh. Situasi kian tak terkendali saat api mulai menyambar mesin ATM dan tumpukan tabung gas elpiji yang tersimpan di toko yang beroperasi 24 jam tersebut. ""Ngeri, tidak berani masuk soalnya panas banget. Apinya merembet ke mesin ATM, terus ke tabung gas juga. Terdengar suara ledakan beberapa kali dari dalam,"" tambah dia. Pantauan Kompas.com di lokasi pada Kamis sore, bangunan tersebut rusak cukup parah. Pintu rolling door menghitam dan ditutup terpal berwarna oranye dan biru. Di halaman parkir, tampak dua tabung gas elpiji yang sudah menghitam tergeletak di area luar. Sebuah spanduk pemberitahuan juga telah dipasang oleh manajemen, menginformasikan bahwa operasional gerai dialihkan sementara ke toko terdekat guna melayani pelanggan. Kepala Badan Penanggulangan Bencana Daerah (BPBD) Kota Tangerang, Mahdiar, mengonfirmasi bahwa tidak ada korban jiwa dalam musibah ini. Api diduga kuat berasal dari gangguan teknis pada alat elektronik. ""Kebakaran diduga dipicu oleh ledakan pada bagian freezer. Sebanyak 25 personel gabungan dan sembilan unit armada dikerahkan ke lokasi untuk penanganan,"" papar Mahdiar dalam keterangannya. Mahdiar menyebut, laporan diterima petugas pada pukul 03.00 WIB, dan personel tiba di lokasi 20 menit kemudian. Api baru benar-benar berhasil dipadamkan secara total pada pukul 05.20 WIB. Mahdiar pun mengimbau kepada seluruh pemilik usaha untuk lebih waspada terhadap perangkat elektronik yang menyala selama 24 jam nonstop. ""Kami mengimbau pelaku usaha agar rutin memeriksa instalasi listrik dan peralatan elektronik, khususnya freezer. Pastikan juga tersedia APAR untuk penanganan awal guna mencegah potensi kebakaran yang lebih besar,"" pungkas dia.","bpbd, kebakaran, korban jiwa","bpbd, kota",2,,2026-06-15T23:53:56.400643+00:00
kompas.com_aa3d72c0056c,Penyintas Banjir Aceh Utara Desak BNPB Perbaiki Huntara yang Rusak Karena Angin Kencang,https://regional.kompas.com/read/2026/06/03/225710878/penyintas-banjir-aceh-utara-desak-bnpb-perbaiki-huntara-yang-rusak-karena,Kompas.com,2026-06-03T15:57:10+00:00,Kompas Cyber Media,"LHOKSUKON, KOMPAS.com - Penyintas banjir di Kabupaten Aceh Utara, Provinsi Aceh, mendesak agar Badan Nasional Penanggulangan Bencana (BNPB) segera memperbaiki hunian sementara (huntara) yang rusak akibat angin kencang pada 2 Juni 2026. Pasalnya, ratusan jiwa kini mengungsi ke rumah saudaranya dan kehilangan tempat tinggal. Tercatat 85 unit Huntara rusak karena angin kencang di sejumlah desa dalam Kecamatan Langkahan, Kabupaten Aceh Utara. Penjabat Keuchik (Kepala Desa) Rumoh Rayeuk, Kecamatan Langkahan, Kabupaten Aceh Utara, Fakhrurrazi, Rabu (3/6/2026) menyebutkan sebanyak 37 unit Huntara penyintas banjir di desa itu rusak dan hancur karena angin kencang. “Sebanyak 23 jiwa pengungsi sekarang ini. Kami harap, BNPB bisa memperbaiki dalam waktu singkat. Agar warga bisa kembali ke Huntara,” terangnya. Sisi lain, dia mendesak agar jatah hidup (jadup) untuk penyintas banjir desa itu segera disalurkan. Sehingga bisa meringankan beban penyintas banjir. “Ini cobaan untuk kami, sudah terkena banjir 26 November 2025 lalu dan rumah hancur, kini Huntara juga hancur. Tolong ini diperbaiki secepatnya,” terangnya. Sementara itu, Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB Abdul Muhari dihubungi terpisah menyebutkan, lembaga negara itu segera memperbaiki hunian sementara yang hancur karena angin kencang. “Jika ada kerusakan Huntara akibat bencana susulan atau bencana lainnya akan diperbaiki,” katanya. Sebelumnya diberitakan sebanyak 58 unit hunian sementara dan satu mushalla rusak karena angin kencang pada 2 Juni 2026 sore. Rinciannya, sebanyak 36 unit huntara yang dibangun oleh BNPB di Desa Rumoh Rayeuk mengalami kerusakan, terdiri atas 11 unit rusak berat, 20 unit rusak sedang, dan 5 unit rusak ringan. Sementara itu, di Desa Langkahan terdapat 5 unit huntara yang mengalami kerusakan ringan dan juga merupakan bantuan BNPB. Selanjutnya, sebanyak 7 unit huntara dan satu unit musala yang dibangun oleh Kementerian Pekerjaan Umum mengalami kerusakan di Desa Buket Linteung. Selain itu, 10 unit huntara yang dibangun BNPB secara in situ juga mengalami kerusakan, dengan rincian 4 unit rusak berat, 4 unit rusak sedang, dan 2 unit rusak ringan di Desa Geudumbak.","banjir, bnpb, kerusakan, pengungsi","aceh, bnpb, kabupaten, provinsi",4,,2026-06-15T23:53:58.778905+00:00
kompas.com_a8f71da294ec,Dua Ledakan Terdengar Saat Kebakaran Permukiman Pasar Jiung Kemayoran,https://megapolitan.kompas.com/read/2026/06/01/23460731/dua-ledakan-terdengar-saat-kebakaran-permukiman-pasar-jiung-kemayoran,Kompas.com,2026-06-01T16:46:07+00:00,Kompas Cyber Media,"JAKARTA, KOMPAS.com - Terdengar dua ledakan saat kebakaran hebat melanda permukiman padat penduduk di kawasan Jalan Kemayoran Gempol, RT 02/RW 05, Kelurahan Kebon Kosong, Kecamatan Kemayoran, Jakarta Pusat pada Senin (1/6/2026) malam. Pantauan Kompas.com di lokasi pada pukul 23.20 WIB, langit di sekitar lokasi tampak berwarna oranye kemerahan, lengkap dengan asap tebal yang membumbung tinggi. Api masih berkobar setinggi setidaknya tiga meter hingga dapat terlihat jelas dari balik tembok yang memisahkan perkampungan dengan area Lapangan Jusuf Hamka di sebelahnya. Dalam durasi lima menit sejak 23.00 hingga 23.05 WIB, terdapat setidaknya dua ledakan besar yang menimbulkan suara dentuman dan kobaran api meninggi. Ledakan tersebut pun disambut oleh suara teriakan sejumlah warga yang ketakutan dan sontak menjauh dari sekitar lokasi. Puluhan unit mobil pemadam kebakaran dikerahkan dan terparkir hingga menutup area Jalan Benyain Suaeb. Sebanyak 100 lebih personel dikerahkan di berbagai titik untuk melakukan proses pemadaman permukiman padat yang letaknya berada di belakang kawasan Pasar Jiung. Besarnya api membuat proses pemadaman sementara dilakukan dari sisi samping di sekitar lokasi, terutama dari area lapangan kosong di samping permukiman. Di area lapangan, warga berbondong-bondong menyelamatkan barang dari rumahnya mulai dari perabotan seperti kasur hingga lemari. Sementara, para pedagang Pasar Jiung juga terlihat mengamankan dagangannya dengan dibawa ke luar pasar hingga diletakkan menumpuk di tengah Jalan Benyamin Suaeb. Pertama gang sempit yang mengarah ke area lahan Lapangan Jusuf Hamka. Hingga saat ini, masih terlihat adanya warga yang hilir mudik dari dalam gang untuk menyelamatkan barang berharganya dari dalam rumah. Kemudian, antrean warga juga terlihat berdesakan keluar dari gang yang mengarah ke Jalan Kemayoran Gempol. Sementara, gang di area tengah pasar digunakan sebagai akses keluar masuk petugas pemadam kebakaran. Berdasarkan data sementara, terdapat total 35 unit mobil dan 106 personel yang dikerahkan untuk memadamkan api.",kebakaran,jakarta,1,,2026-06-15T23:54:03.512037+00:00
kompas.com_d0425729848b,"Curhat Korban Bencana Aceh: Senang Dapat Hewan Kurban, Sedih Ekonomi Belum Pulih",https://regional.kompas.com/read/2026/06/01/231100578/curhat-korban-bencana-aceh--senang-dapat-hewan-kurban-sedih-ekonomi-belum,Kompas.com,2026-06-01T16:11:00+00:00,Kompas Cyber Media,"KOMPAS.com – Sampai sekarang distribusi hewan kurban terus dilakukan. Salah satunya kepada para korban bencana alam. Direktur Rumah Amal Salman, Syachrial mengatakan, sejumlah wilayah terdampak bencana yang menjadi lokasi distribusi antara lain Kabupaten Pidie Jaya, Tapanuli Tengah, Aceh Tamiang, Aceh Tengah, Agam, Aceh Barat, hingga kawasan longsor Pasir Langu di Cisarua. “Sebagian masyarakat di wilayah tersebut masih menghadapi keterbatasan akses kebutuhan pangan dan proses pemulihan pascabencana,” ujar Syachrial dalam rilisnya, Senin (1/6/2026). Ditambahkan Syachrial, penyaluran kurban ini diharapkan dapat memperkuat solidaritas sosial sekaligus membantu pemenuhan kebutuhan pangan warga. “Kurban selalu menjadi momentum memperluas kepedulian sosial, terutama bagi masyarakat yang berada di wilayah bencana,” ujarnya. Salah satu penerima manfaat kurban, Nazaruddin, mengaku bantuan hewan kurban yang warga terima menjadi penyemangat. Kebersamaan dan kehangatan sangat terasa saat Idul Adha beberapa waktu lalu. Walaupun ia tidak memungkiri, masih ada rasa sedih dalam dirinya. Sebab perekonomian keluarganya belum pulih karena sumber penghasilannya habis tersapu banjir. Warga lainnya mengatakan, selain ekonomi keluarga, pendidikan anak-anaknya pun masih terganggu. Sebab sarana pendidikan seperti sekolah, masih rusak. Selain korban bencana, hewan kurban didistribusikan ke 62 kabupaten/kota di 28 provinsi. Termasuk daerah pelosok. Untuk memperluas jangkauan distribusi ini, Rumah Amal Salman dan Masjid Salman ITB bekerja sama dengan 30 masjid kampus dan 120 mitra lembaga di berbagai titik Indonesia. “Tahun ini, kami berhasil menghimpun total 119 ekor sapi dan 997 ekor domba. Khusus untuk lokasi bencana di Sumatera, sebanyak 13 ekor sapi,” tutur dia. Ketua Pelaksana Kurban, Didi Riyadi, menyatakan bahwa penghimpunan hewan kurban tahun ini meningkat 26 persen dibanding tahun lalu. Peningkatan tersebut dipengaruhi oleh tingginya minat jemaah terhadap layanan hak daging yang disediakan, program kurban untuk daerah rawan gizi, kurban di Sumatera, serta kerja sama dengan berbagai pihak.","banjir, longsor","aceh, indonesia, kabupaten, kota, provinsi, sumatera",4,,2026-06-15T23:54:05.887808+00:00
